Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Accession,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A3
False,High,Master Protein,-732913762284157568,1977,XP_005251033.1,PLEC#5339#plectin isoform X3 [Homo sapiens],0,1931.671,0,62,257,3757,0,2,1,4689,532.1,5.97,20168,5624.89,60,60,1802,1955,253,242,260,77423.7,72895.2,50085.4,78978.8,74100.9,51355.4,78552.8,73900.5,51145.0,77480.1,73033.2,50001.0,78552.8,69308.5017550309,73252.9788652024,68352.7651049685,65924.26099803319,77501.07712694022,46819.9775497902,48814.94177753741
False,High,Master Protein,6611444595035923456,3758,XP_011515432.1,PLEC#5339#plectin isoform X2 [Homo sapiens],0,1929.761,0,63,256,3765,1,1,1,4552,516.4,5.76,20196,5632.65,62,62,1806,1959,252,241,0,279.0,202.1,106.2,247.2,200.9,93.7,263.0,189.3,91.1,261.4,211.2,107.6,263.0,177.53735606967948,263.9706072351421,185.31583974807558,182.77325732973512,242.5747955879251,99.27606879026061,89.06483144041825
False,High,Master Protein,159881550363046272,2174,XP_006716651.1,PLEC#5339#plectin isoform X4 [Homo sapiens],0,1923.726,0,63,256,3752,0,1,1,4579,518.8,5.76,20128,5614.84,62,61,1800,1952,252,240,0,0.0,0.0,15.7,0.0,0.0,9.5,0.0,0.0,6.6,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,14.67640564978429,9.030052280511988
False,High,Master Protein,5927523368410573824,3603,NP_008835.5,PRKDC#5591#DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens],0,1302.061,0,50,176,1880,4,176,1,4128,468.8,7.12,9832,2775.57,49,47,922,958,175,166,0,30043.5,33043.3,36843.4,30927.1,34288.0,38415.8,30766.4,33893.8,37796.4,30969.7,34161.2,38211.0,30766.4,31787.721284492884,28425.09296942291,31628.22057382785,29883.382354891823,30348.4423973597,34441.317446959394,36515.44025238868
False,High,Master Protein,5353102455870621696,3475,XP_016873759.1,AHNAK#79026#neuroblast differentiation-associated protein AHNAK isoform X1 [Homo sapiens],0,1204.742,0,57,162,1639,0,162,1,5823,621.4,6.15,5441,2048.99,57,56,758,881,161,157,0,27726.8,25447.1,17883.2,28666.9,26171.9,18711.9,25865.6,23607.6,16757.4,28037.4,25595.3,17845.5,25865.6,22140.680861862467,26233.1907981625,24141.700479356194,23013.60394159081,28130.531584302145,16717.267357721175,17786.256343969715
False,High,Master Protein,-7115142250704837632,462,XP_006717563.1,VIM#7431#vimentin isoform X1 [Homo sapiens],0,880.334,0,92,61,9278,51,59,1,466,53.6,5.12,58171,14038.37,90,92,4635,4643,60,55,2,165975.6,165430.0,174644.7,175359.9,174122.5,184806.0,175228.5,172895.6,184847.6,174160.5,171817.9,183009.3,175228.5,162152.28579017895,157034.69504737295,160615.51670748772,149609.99485432004,172078.85071528718,163258.37336209443,175663.9833423472
False,High,Master Protein,3377890585448933888,2964,NP_001275582.1,CLTC#1213#clathrin heavy chain 1 isoform 2 [Homo sapiens],0,807.882,0,68,85,1597,0,85,1,1679,191.9,5.69,9283,2463.87,68,61,778,819,85,77,0,24318.9,27622.9,25656.4,24565.8,27647.7,25719.0,23427.3,26779.1,24977.8,23151.8,26272.0,24449.6,23427.3,25115.11152628396,23008.870251937984,25503.02012246326,24981.33305241732,24106.164698437908,23983.677319307368,24446.727852893455
False,High,Master Protein,5619484675981056000,3531,NP_002147.2,"HSPD1#3329#60 kDa heat shock protein, mitochondrial [Homo sapiens]",0,759.032,0,80,45,3141,45,45,1,573,61.0,5.87,20006,4787.05,80,74,1574,1567,45,38,0,41421.1,37822.5,37850.5,44950.5,40761.1,40232.7,47379.7,43175.4,42221.9,48933.8,44728.6,43993.4,47379.7,40492.58512018404,39189.79540984783,37599.191018194535,34205.54935850523,44109.459340918394,35382.75745523314,38242.46151433207
False,High,Master Protein,-4615289327887409152,1068,NP_006280.3,TLN1#7094#talin-1 [Homo sapiens],0,729.643,0,49,84,855,77,77,1,2541,269.6,6.07,4844,1506.59,49,46,421,434,84,77,7,10635.5,10911.5,11777.8,10431.1,10501.9,11808.4,9745.8,9883.0,10795.3,9236.2,9531.4,10443.2,9745.8,9268.894294963773,10062.57847042779,9687.249464660601,9868.037592050494,10235.930219487078,11009.92168547958,11224.259931494502
False,High,Master Protein,813436025896797568,2364,NP_006608.1,NES#10763#nestin [Homo sapiens],0,711.084,0,56,76,1849,76,76,1,1621,177.3,4.36,11732,2835.01,56,56,858,991,76,74,0,36302.0,36455.4,25572.5,34659.8,34936.1,24347.5,32889.7,33078.1,23211.5,34163.5,34490.0,24184.9,32889.7,31022.706908655386,34346.45513924777,32226.046336599014,32969.18458811691,34011.30218494485,23905.247355357245,23143.073463133223
